Ind_ID,Gender,Car_Owner,Propert_Owner,Children,Annual_income,Type_Income,Education,Marital_status,Housing_type,Family_Members,Label,Age,Employed_Years,Age_Category
5046324,F,N,Y,1,157500.0,Commercial associate,Secondary Education,Single,Apartment,3,Rejected,42,6.21,Adult
5046328,F,N,Y,1,157500.0,Pensioner,Secondary Education,Single,Apartment,3,Rejected,42,6.21,Adult
5047662,F,N,Y,1,67500.0,Commercial associate,Secondary Education,Married,Apartment,3,Rejected,51,11.26,Adult
5048300,M,Y,N,1,180000.0,Commercial associate,Secondary Education,Married,Apartment,3,Rejected,30,3.18,Young
5048301,M,Y,N,1,180000.0,Commercial associate,Secondary Education,Married,Apartment,3,Rejected,30,3.18,Young
5050671,M,N,N,0,171000.0,Commercial associate,Secondary Education,Single,Apartment,1,Rejected,31,0.45,Young
5051160,M,Y,N,1,135000.0,Working,Secondary Education,Married,Apartment,3,Rejected,26,2.37,Young
5051161,M,Y,N,1,135000.0,Working,Secondary Education,Married,Apartment,3,Rejected,26,2.37,Young
5052659,F,N,Y,0,103500.0,Working,Secondary Education,Married,Apartment,2,Rejected,28,1.54,Young
5052661,F,N,Y,0,103500.0,Working,Secondary Education,Married,Apartment,2,Rejected,28,1.54,Young
5052877,M,Y,Y,0,225000.0,Working,Secondary Education,Married,Apartment,2,Rejected,49,9.22,Adult
5052879,M,Y,Y,0,225000.0,Working,Secondary Education,Married,Apartment,2,Rejected,49,9.22,Adult
5052882,M,Y,Y,0,225000.0,Working,Secondary Education,Married,Apartment,2,Rejected,49,9.22,Adult
5053254,F,Y,Y,0,180000.0,Commercial associate,Secondary Education,Married,Apartment,2,Rejected,51,5.89,Adult
5054063,M,N,N,1,157500.0,Working,Secondary Education,Married,Apartment,3,Rejected,44,3.99,Adult
5054068,M,N,N,1,157500.0,Working,Secondary Education,Married,Apartment,1,Rejected,44,3.99,Adult
5061691,F,N,Y,1,67500.0,Commercial associate,Higher education,Married,Apartment,3,Rejected,24,4.29,Young
5062136,M,N,N,1,180000.0,Working,Secondary Education,Single,Apartment,2,Rejected,35,0.38,Young
5065348,F,Y,Y,0,202500.0,Working,Higher education,Married,Apartment,2,Rejected,41,10.88,Adult
5065462,F,N,N,0,157500.0,Commercial associate,Secondary Education,Married,Apartment,2,Rejected,52,4.3,Adult
5065518,F,Y,N,1,202500.0,Working,Higher education,Married,Rented,3,Rejected,26,7.88,Young
5068389,F,Y,Y,1,270000.0,Working,Higher education,Single,Apartment,2,Rejected,38,0.38,Young
5068456,F,Y,N,0,135000.0,Commercial associate,Secondary Education,Married,Apartment,2,Rejected,37,7.05,Young
5069216,F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,Apartment,2,Rejected,30,4.72,Young
5069218,F,Y,Y,0,256500.0,Commercial associate,Higher education,Single,Apartment,2,Rejected,30,4.72,Young
5069307,M,N,Y,0,157500.0,Working,Secondary Education,Married,Apartment,2,Rejected,42,3.64,Adult
5078820,F,N,N,2,225000.0,Commercial associate,Secondary Education,Married,Apartment,4,Rejected,39,13.65,Young
5078945,F,N,Y,2,180000.0,Working,Secondary Education,Single,Apartment,3,Rejected,33,9.57,Young
5078946,F,N,Y,2,180000.0,Working,Secondary Education,Single,Apartment,3,Rejected,33,9.57,Young
5079166,M,Y,N,0,202500.0,Working,Secondary Education,Married,With parents,2,Rejected,37,3.82,Young
5079167,M,Y,N,0,202500.0,Working,Secondary Education,Married,With parents,2,Rejected,37,3.82,Young
5079168,M,Y,N,0,202500.0,Working,Secondary Education,Married,With parents,2,Rejected,37,3.82,Young
5085886,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,Apartment,2,Rejected,51,3.46,Adult
5089162,F,Y,N,0,225000.0,Working,Higher education,Married,Apartment,2,Rejected,55,6.93,Adult
5089959,M,N,Y,1,126000.0,Commercial associate,Secondary Education,Married,Apartment,3,Rejected,34,5.76,Young
5090214,M,Y,Y,0,135000.0,Working,Secondary Education,Married,Apartment,2,Rejected,29,0.59,Young
5090216,M,Y,Y,0,135000.0,Working,Secondary Education,Married,Apartment,2,Rejected,29,0.59,Young
5092087,M,Y,Y,2,247500.0,Working,Secondary Education,Married,Apartment,4,Rejected,47,1.46,Adult
5096527,F,N,N,0,135000.0,Working,Secondary Education,Widow,Apartment,1,Rejected,54,1.6,Adult
5096528,F,N,N,0,135000.0,Working,Secondary Education,Widow,Apartment,1,Rejected,54,1.6,Adult
5096743,F,N,Y,0,180000.0,Working,Lower secondary,Widow,Apartment,1,Rejected,46,6.1,Adult
5100430,M,Y,N,0,180000.0,Working,Secondary Education,Single,Apartment,1,Rejected,44,1.68,Adult
5113621,M,N,N,0,225000.0,Working,Secondary Education,Widow,Apartment,1,Rejected,53,0.95,Adult
5114249,M,N,N,1,130500.0,Working,Secondary Education,Married,Rented,3,Rejected,31,4.95,Young
5114253,M,N,N,1,130500.0,Working,Secondary Education,Married,Rented,3,Rejected,31,4.95,Young
5115604,F,N,Y,0,202500.0,Working,Secondary Education,Married,Apartment,2,Rejected,39,9.36,Young
5115606,F,N,Y,0,202500.0,Working,Secondary Education,Married,Apartment,2,Rejected,39,9.36,Young
5115608,F,N,Y,0,202500.0,Working,Secondary Education,Married,Apartment,2,Rejected,39,9.36,Young
5115610,F,N,Y,0,202500.0,Working,Secondary Education,Married,Apartment,2,Rejected,39,9.36,Young
5115611,F,N,Y,0,202500.0,Working,Secondary Education,Single,Apartment,2,Rejected,39,9.36,Young
5116035,M,Y,Y,0,126000.0,Working,Higher education,Single,Apartment,1,Rejected,39,2.36,Young
5116036,M,Y,Y,0,126000.0,Working,Higher education,Single,Apartment,1,Rejected,39,2.36,Young
5117313,F,N,Y,1,157500.0,Commercial associate,Secondary Education,Married,Apartment,3,Rejected,35,10.76,Young
5118541,F,N,Y,0,72000.0,Working,Secondary Education,Married,Apartment,2,Rejected,49,2.84,Adult
5125289,F,N,N,1,202500.0,Working,Secondary Education,Single,Apartment,2,Rejected,38,0.37,Young
5125708,F,Y,Y,0,135000.0,Working,Lower secondary,Married,Apartment,2,Rejected,44,1.7,Adult
5125716,F,Y,Y,0,135000.0,Working,Lower secondary,Married,Apartment,2,Rejected,44,1.7,Adult
5125761,M,N,Y,0,270000.0,Commercial associate,Secondary Education,Single,Apartment,1,Rejected,49,4.37,Adult
5125763,M,Y,N,1,135000.0,Commercial associate,Secondary Education,Single,Apartment,3,Rejected,35,4.45,Young
5125934,F,N,Y,2,135000.0,Commercial associate,Lower secondary,Married,With parents,4,Rejected,27,5.11,Young
5135344,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,Apartment,2,Rejected,55,1.52,Adult
5135345,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,Apartment,2,Rejected,55,1.52,Adult
5135346,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,Apartment,2,Rejected,55,1.52,Adult
5135485,F,N,Y,0,135000.0,State servant,Higher education,Single,Apartment,1,Rejected,29,5.3,Young
5135487,F,N,Y,0,135000.0,State servant,Higher education,Single,Apartment,1,Rejected,29,5.3,Young
5135636,M,Y,Y,0,195750.0,Working,Secondary Education,Married,Apartment,2,Rejected,51,2.55,Adult
5142361,M,Y,Y,1,112500.0,Working,Secondary Education,Married,Apartment,3,Rejected,44,2.53,Adult
5142362,M,Y,Y,1,112500.0,Working,Secondary Education,Married,Apartment,3,Rejected,44,2.53,Adult
5142456,F,N,N,0,67500.0,Commercial associate,Higher education,Single,Apartment,1,Rejected,51,1.37,Adult
5142458,F,N,Y,0,67500.0,Commercial associate,Higher education,Single,Apartment,1,Rejected,51,1.37,Adult
5142459,F,N,Y,0,67500.0,Commercial associate,Higher education,Single,Apartment,1,Rejected,51,1.37,Adult
5143342,M,N,N,1,216000.0,Working,Secondary Education,Married,Apartment,3,Rejected,35,6.62,Young
5146005,M,Y,Y,0,225000.0,Working,Secondary Education,Single,Apartment,1,Rejected,27,0.52,Young
5146079,F,N,Y,1,108000.0,Working,Secondary Education,Married,Apartment,3,Rejected,34,3.1,Young
5146167,F,N,Y,0,135000.0,Working,Secondary Education,Married,Apartment,2,Rejected,55,4.85,Adult
5146444,F,N,Y,0,135000.0,Working,Secondary Education,Widow,Apartment,1,Rejected,39,2.52,Young
5148932,M,Y,N,0,108000.0,Working,Secondary Education,Married,Apartment,2,Rejected,47,2.96,Adult
5148934,M,Y,N,0,108000.0,Working,Secondary Education,Married,Apartment,2,Rejected,47,2.96,Adult
5149828,M,Y,Y,0,315000.0,Working,Secondary Education,Married,Apartment,2,Rejected,47,6.63,Adult
5149834,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,Apartment,2,Rejected,33,3.63,Young
5149838,F,N,Y,0,157500.0,Pensioner,Higher education,Married,Apartment,2,Rejected,33,3.63,Young
5069057,M,Y,N,0,225000.0,Commercial associate,Secondary Education,Married,Apartment,2,Approved,48,6.8,Adult
5066689,F,N,Y,0,180000.0,Commercial associate,Higher education,Married,Apartment,2,Approved,35,0.93,Young
5113717,F,N,N,1,135000.0,Working,Secondary Education,Married,Apartment,3,Approved,44,8.36,Adult
5066765,F,N,Y,1,63000.0,Commercial associate,Secondary Education,Married,Apartment,3,Approved,39,8.18,Young
5105227,F,N,Y,0,135000.0,Working,Secondary Education,Married,Apartment,2,Approved,47,5.83,Adult
5067187,F,N,Y,0,112500.0,Working,Higher education,Married,Apartment,2,Approved,31,2.25,Young
5046340,M,N,Y,1,180000.0,Working,Lower secondary,Married,Apartment,3,Approved,28,4.63,Young
5022326,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,Apartment,2,Approved,58,4.58,Adult
5065764,F,N,Y,0,90000.0,Working,Secondary Education,Single,Apartment,1,Approved,40,1.9,Adult
5067849,F,N,Y,0,180000.0,Commercial associate,Secondary Education,Single,Apartment,1,Approved,40,1.55,Adult
5097169,F,N,N,0,90000.0,Commercial associate,Secondary Education,Single,Apartment,1,Approved,29,2.42,Young
5067723,F,N,Y,1,337500.0,Working,Academic degree,Single,Apartment,2,Approved,34,7.58,Young
5056077,M,Y,Y,0,90000.0,Working,Secondary Education,Married,Apartment,2,Approved,33,4.24,Young
5143016,M,N,N,0,180000.0,Commercial associate,Secondary Education,Married,Rented,2,Approved,39,8.7,Young
5021445,F,N,Y,0,121500.0,Working,Secondary Education,Married,With parents,2,Approved,36,14.25,Young
5053592,F,N,Y,1,117000.0,Working,Lower secondary,Widow,Apartment,2,Approved,48,8.41,Adult
5116163,F,N,Y,2,90000.0,Working,Secondary Education,Married,Apartment,4,Approved,27,0.88,Young
5125399,M,Y,N,0,112500.0,Working,Secondary Education,Married,Apartment,2,Approved,27,2.28,Young
5067345,F,Y,N,0,180000.0,Commercial associate,Secondary Education,Married,Apartment,2,Approved,45,2.97,Adult
5053711,F,Y,N,2,157500.0,Commercial associate,Secondary Education,Married,Apartment,4,Approved,35,3.83,Young
5125158,M,N,Y,1,234000.0,Working,Secondary Education,Married,Apartment,3,Approved,32,4.79,Young
5062688,M,Y,Y,0,247500.0,State servant,Secondary Education,Married,Apartment,2,Approved,55,2.4,Adult
5105685,F,N,Y,2,144000.0,Working,Secondary Education,Married,Apartment,4,Approved,38,7.68,Young
5115984,M,Y,Y,2,180000.0,Working,Higher education,Married,Apartment,4,Approved,36,6.78,Young
5065363,F,N,Y,1,216000.0,Working,Higher education,Single,Apartment,2,Approved,28,4.88,Young
5140074,F,N,Y,0,90000.0,Commercial associate,Secondary Education,Married,Apartment,2,Approved,41,1.18,Adult
5091963,M,Y,N,0,180000.0,Working,Secondary Education,Married,Apartment,2,Approved,51,3.88,Adult
5067149,M,N,N,2,225000.0,Working,Secondary Education,Married,Apartment,4,Approved,38,0.72,Young
5096424,M,Y,N,0,270000.0,Commercial associate,Higher education,Single,Apartment,1,Approved,31,6.43,Young
5029348,M,Y,Y,0,270000.0,Working,Higher education,Married,Apartment,2,Approved,29,1.13,Young
5028917,F,Y,Y,0,112500.0,Working,Secondary Education,Married,Apartment,2,Approved,47,4.89,Adult
5117778,F,Y,N,0,144000.0,Working,Secondary Education,Widow,Apartment,1,Approved,39,3.68,Young
5095310,F,Y,Y,0,225000.0,Working,Higher education,Married,Apartment,2,Approved,33,10.18,Young
5050655,F,N,N,0,112500.0,Working,Secondary Education,Married,Apartment,2,Approved,40,2.87,Adult
5033817,F,Y,N,1,292500.0,State servant,Higher education,Married,Apartment,3,Approved,43,7.3,Adult
5052963,M,Y,Y,0,135000.0,Commercial associate,Secondary Education,Married,Apartment,2,Approved,27,7.13,Young
5113159,M,Y,Y,0,157500.0,Commercial associate,Secondary Education,Single,Apartment,1,Approved,27,5.85,Young
5132800,F,N,Y,0,157500.0,Working,Secondary Education,Single,Apartment,1,Approved,50,4.2,Adult
5090549,F,N,Y,0,157500.0,Working,Secondary Education,Married,Apartment,2,Approved,41,6.93,Adult
5054522,F,Y,Y,1,135000.0,Working,Higher education,Married,Apartment,3,Approved,27,6.33,Young
5051061,F,N,N,2,112500.0,Commercial associate,Secondary Education,Married,Apartment,4,Approved,32,3.62,Young
5010707,M,Y,N,0,202500.0,Working,Secondary Education,Married,Apartment,2,Approved,43,13.86,Adult
5028984,F,N,Y,0,193500.0,Working,Secondary Education,Single,Apartment,1,Approved,52,6.06,Adult
5126034,F,Y,Y,0,108000.0,Working,Secondary Education,Single,Apartment,1,Approved,47,2.53,Adult
5021775,F,N,Y,0,292500.0,Commercial associate,Higher education,Married,Apartment,2,Approved,39,4.25,Young
5046415,M,Y,Y,0,270000.0,Working,Higher education,Married,Apartment,2,Approved,39,4.3,Young
5117314,M,N,Y,1,292500.0,Working,Secondary Education,Married,Apartment,3,Approved,45,4.6,Adult
5096416,F,N,N,0,76500.0,Working,Secondary Education,Married,Apartment,2,Approved,46,0.27,Adult
5042286,F,N,Y,0,157500.0,Working,Secondary Education,Single,Apartment,1,Approved,29,3.35,Young
5050729,M,Y,N,0,180000.0,Working,Secondary Education,Single,With parents,1,Approved,23,1.45,Young
5044935,M,N,Y,2,360000.0,State servant,Higher education,Married,Apartment,4,Approved,43,15.44,Adult
5113539,F,N,Y,0,157500.0,Working,Secondary Education,Married,Apartment,2,Approved,57,4.86,Adult
5033452,F,N,N,0,112500.0,Working,Secondary Education,Married,Apartment,2,Approved,52,15.05,Adult
5065335,M,N,Y,0,202500.0,Commercial associate,Lower secondary,Married,Rented,2,Approved,26,5.3,Young
5145978,F,Y,N,0,112500.0,State servant,Secondary Education,Widow,Apartment,1,Approved,53,16.1,Adult
5105614,F,Y,Y,2,135000.0,Working,Higher education,Married,Apartment,4,Approved,33,1.26,Young
5038845,F,N,Y,0,103500.0,Commercial associate,Secondary Education,Married,Apartment,2,Approved,46,4.3,Adult
5105556,F,N,Y,0,157500.0,Working,Secondary Education,Married,Apartment,2,Approved,54,12.41,Adult
5028383,M,Y,N,0,337500.0,Working,Secondary Education,Single,With parents,1,Approved,31,9.06,Young
5009980,F,Y,Y,0,180000.0,State servant,Secondary Education,Married,Apartment,2,Approved,56,10.6,Adult
5009706,F,N,N,0,157500.0,Working,Higher education,Married,Apartment,2,Approved,31,0.94,Young
5146463,M,Y,N,0,360000.0,State servant,Higher education,Married,Apartment,2,Approved,27,5.26,Young
5112662,F,N,N,1,135000.0,Commercial associate,Secondary Education,Married,Apartment,3,Approved,33,1.65,Young
5096796,M,Y,Y,0,337500.0,Working,Higher education,Single,Apartment,1,Approved,36,1.6,Young
5066597,F,N,N,1,360000.0,Commercial associate,Higher education,Married,Apartment,3,Approved,40,5.26,Adult
5143019,M,N,N,0,270000.0,Working,Secondary Education,Married,With parents,2,Approved,32,1.7,Young
5118617,F,N,N,0,270000.0,Commercial associate,Higher education,Single,Apartment,1,Approved,43,14.26,Adult
5125317,M,Y,N,0,292500.0,Commercial associate,Secondary Education,Married,Apartment,2,Approved,57,7.45,Adult
5038814,F,N,Y,0,247500.0,Commercial associate,Secondary Education,Married,Apartment,2,Approved,53,2.04,Adult
5095356,F,N,N,0,157500.0,Working,Secondary Education,Single,With parents,1,Approved,24,2.84,Young
5037266,M,Y,N,0,225000.0,Working,Secondary Education,Single,Apartment,1,Approved,32,3.62,Young
5052865,F,N,Y,0,94500.0,Commercial associate,Secondary Education,Married,Apartment,2,Approved,37,9.47,Young
5096211,M,N,N,0,81000.0,Working,Secondary Education,Married,Apartment,2,Approved,38,0.43,Young
5023280,F,Y,Y,0,180000.0,Commercial associate,Secondary Education,Married,Apartment,2,Approved,45,6.73,Adult
5132340,F,N,Y,2,198000.0,Commercial associate,Secondary Education,Single,Apartment,3,Approved,42,7.7,Adult
5045917,M,Y,Y,0,315000.0,Commercial associate,Secondary Education,Married,Rented,2,Approved,46,5.55,Adult
5041073,F,N,Y,0,67500.0,Working,Secondary Education,Single,Apartment,2,Approved,49,0.51,Adult
5149660,F,N,Y,1,180000.0,Commercial associate,Secondary Education,Married,Apartment,3,Approved,32,8.12,Young
5022756,F,N,N,1,202500.0,Commercial associate,Secondary Education,Single,Apartment,2,Approved,29,8.67,Young
5036562,F,N,N,1,112500.0,Working,Secondary Education,Married,Apartment,3,Approved,32,13.98,Young
5117754,M,Y,N,0,306000.0,Working,Secondary Education,Married,Apartment,2,Approved,43,4.51,Adult
5125281,F,N,Y,1,90000.0,Working,Secondary Education,Married,Apartment,3,Approved,44,10.11,Adult
5149039,F,N,Y,2,270000.0,Commercial associate,Higher education,Married,Apartment,4,Approved,30,10.12,Young
5021267,F,Y,Y,1,270000.0,Working,Secondary Education,Married,Apartment,3,Approved,39,12.58,Young
5125166,M,N,Y,1,234000.0,Working,Secondary Education,Married,Apartment,3,Approved,32,4.79,Young
5125524,M,N,N,2,171000.0,Working,Secondary Education,Married,Apartment,4,Approved,37,15.53,Young
5010089,F,N,N,0,225000.0,Commercial associate,Secondary Education,Married,Apartment,2,Approved,28,4.61,Young
5126457,F,N,N,0,94500.0,Working,Higher education,Married,Apartment,2,Approved,46,0.54,Adult
5142763,F,N,N,0,117000.0,Commercial associate,Secondary Education,Single,With parents,1,Approved,27,1.45,Young
5023261,M,Y,Y,0,180000.0,Commercial associate,Secondary Education,Married,Apartment,2,Approved,58,4.64,Adult
5090861,F,Y,Y,0,202500.0,Commercial associate,Secondary Education,Married,Apartment,2,Approved,54,5.94,Adult
5118397,M,N,N,0,135000.0,Working,Secondary Education,Married,Apartment,2,Approved,46,4.51,Adult
5069399,M,N,Y,0,157500.0,Working,Secondary Education,Single,Apartment,1,Approved,22,4.13,Young
5008889,F,N,Y,0,247500.0,Commercial associate,Higher education,Single,Rented,1,Approved,46,3.69,Adult
5022041,M,N,Y,0,180000.0,Working,Secondary Education,Married,Apartment,2,Approved,27,3.85,Young
5126124,F,Y,N,0,72000.0,Working,Secondary Education,Married,Apartment,2,Approved,41,0.62,Adult
5050853,M,N,N,0,180000.0,Commercial associate,Higher education,Single,Apartment,1,Approved,25,4.12,Young
5024412,M,Y,N,0,270000.0,Working,Higher education,Married,Apartment,2,Approved,50,13.92,Adult
5090612,F,Y,N,0,202500.0,Working,Higher education,Married,Apartment,2,Approved,37,7.95,Young
5028274,F,Y,N,2,360000.0,Working,Secondary Education,Married,Apartment,4,Approved,34,6.06,Young
5028996,M,Y,Y,0,270000.0,Working,Higher education,Married,Apartment,2,Approved,33,0.97,Young
5126322,F,N,N,0,270000.0,Working,Secondary Education,Married,Apartment,2,Approved,48,4.71,Adult
5053610,F,N,Y,0,112500.0,Working,Secondary Education,Married,Apartment,2,Approved,56,10.08,Adult
5137401,F,N,N,0,157500.0,Working,Higher education,Single,Apartment,1,Approved,47,8.21,Adult
5142812,M,Y,N,0,202500.0,State servant,Secondary Education,Married,Apartment,2,Approved,31,11.7,Young
5053354,F,Y,N,0,225000.0,Working,Secondary Education,Married,Apartment,2,Approved,50,0.3,Adult
5087944,F,N,Y,0,72000.0,Working,Secondary Education,Widow,Apartment,1,Approved,54,5.69,Adult
5068491,M,N,N,1,315000.0,Commercial associate,Higher education,Married,Apartment,3,Approved,50,0.3,Adult
5009739,F,Y,N,0,99000.0,Working,Secondary Education,Married,Apartment,2,Approved,40,12.02,Adult
5096991,F,N,Y,1,225000.0,Commercial associate,Higher education,Married,Apartment,3,Approved,33,0.34,Young
5046362,F,N,Y,0,90000.0,Working,Secondary Education,Married,With parents,2,Approved,39,0.38,Young
5066817,F,Y,N,1,360000.0,Working,Higher education,Widow,Apartment,2,Approved,45,11.01,Adult
5068888,F,N,Y,0,225000.0,Working,Secondary Education,Married,Apartment,2,Approved,64,13.38,Senior
5022308,F,N,Y,0,90000.0,Working,Secondary Education,Single,Apartment,1,Approved,52,9.09,Adult
5068465,F,N,Y,1,90000.0,Commercial associate,Secondary Education,Married,Apartment,3,Approved,27,5.38,Young
5137033,M,Y,N,1,112500.0,Working,Secondary Education,Married,Apartment,3,Approved,39,0.55,Young
5100220,M,Y,Y,2,315000.0,Commercial associate,Secondary Education,Married,Apartment,4,Approved,41,16.76,Adult
5078842,F,Y,Y,1,135000.0,Working,Secondary Education,Married,With parents,3,Approved,28,0.32,Young
5105150,F,N,Y,0,90000.0,Working,Higher education,Married,Apartment,2,Approved,51,4.83,Adult
5045253,F,N,Y,1,270000.0,Working,Secondary Education,Married,Apartment,3,Approved,57,10.1,Adult
5100000,F,N,N,1,180000.0,Commercial associate,Secondary Education,Married,Apartment,3,Approved,41,9.35,Adult
5029725,F,N,Y,1,135000.0,Commercial associate,Higher education,Married,Apartment,3,Approved,26,7.97,Young
5090925,F,N,Y,0,243000.0,Commercial associate,Secondary Education,Married,With parents,2,Approved,46,9.34,Adult
5115947,M,Y,Y,0,225000.0,Working,Secondary Education,Single,Apartment,1,Approved,26,3.03,Young
5149040,F,N,Y,0,180000.0,Working,Secondary Education,Married,Apartment,2,Approved,54,9.88,Adult
5113291,F,Y,Y,2,121500.0,Working,Secondary Education,Married,Apartment,4,Approved,31,0.28,Young
5139951,F,Y,Y,0,121500.0,State servant,Secondary Education,Married,Apartment,2,Approved,54,8.85,Adult
5028697,M,Y,N,1,270000.0,Working,Higher education,Married,Rented,3,Approved,29,0.56,Young
5009443,F,N,N,0,90000.0,State servant,Secondary Education,Married,Apartment,2,Approved,25,4.61,Young
5096621,F,N,N,1,135000.0,Working,Secondary Education,Married,Apartment,3,Approved,39,4.35,Young
5149150,M,Y,Y,0,247500.0,Working,Secondary Education,Married,Apartment,2,Approved,29,9.79,Young
5118448,F,N,N,1,76500.0,Working,Secondary Education,Married,Apartment,3,Approved,27,2.01,Young
5022833,M,Y,Y,0,202500.0,Working,Secondary Education,Married,Apartment,2,Approved,47,4.43,Adult
5010397,F,Y,Y,1,225000.0,Working,Higher education,Married,Apartment,3,Approved,38,4.36,Young
5047789,F,Y,Y,0,225000.0,Commercial associate,Higher education,Married,Apartment,2,Approved,28,2.68,Young
5150047,F,N,Y,0,283500.0,Working,Secondary Education,Married,Apartment,2,Approved,49,1.79,Adult
5088699,F,Y,Y,0,252000.0,Working,Secondary Education,Married,Apartment,2,Approved,48,3.45,Adult
5146472,F,Y,Y,0,180000.0,Commercial associate,Higher education,Married,Apartment,2,Approved,38,10.43,Young
5068156,M,Y,Y,0,180000.0,Working,Secondary Education,Married,Apartment,2,Approved,53,8.89,Adult
5117756,M,Y,N,0,306000.0,Working,Secondary Education,Married,Apartment,2,Approved,43,4.51,Adult
5143164,F,N,N,2,180000.0,Commercial associate,Secondary Education,Married,Apartment,4,Approved,37,3.7,Young
5135841,F,N,Y,1,36000.0,Working,Secondary Education,Married,Apartment,3,Approved,33,3.05,Young
5023059,M,Y,Y,1,112500.0,Working,Secondary Education,Married,Apartment,3,Approved,30,1.39,Young
5125325,M,Y,N,0,292500.0,Commercial associate,Secondary Education,Married,Apartment,2,Approved,57,7.45,Adult
5135574,F,Y,Y,0,180000.0,Working,Secondary Education,Married,Apartment,2,Approved,32,2.72,Young
5009053,F,N,Y,2,202500.0,Working,Higher education,Married,Apartment,4,Approved,30,6.27,Young
5029108,M,Y,N,1,315000.0,State servant,Secondary Education,Married,Apartment,3,Approved,36,9.97,Young
5091400,F,N,N,0,135000.0,Working,Secondary Education,Married,With parents,2,Approved,33,2.38,Young
5050768,F,N,N,2,337500.0,Working,Secondary Education,Married,Apartment,4,Approved,30,5.95,Young
5113420,F,N,N,1,157500.0,Working,Secondary Education,Single,Apartment,2,Approved,34,14.61,Young
5113132,F,Y,Y,0,360000.0,Commercial associate,Secondary Education,Married,Apartment,2,Approved,52,9.68,Adult
5062670,F,Y,Y,1,135000.0,Working,Higher education,Married,Apartment,3,Approved,40,12.07,Adult
5029352,M,Y,Y,0,270000.0,Working,Higher education,Married,Apartment,2,Approved,29,1.13,Young
5105067,M,N,Y,0,157500.0,Working,Secondary Education,Married,Apartment,2,Approved,37,1.24,Young
5143573,M,Y,N,0,157500.0,Working,Secondary Education,Married,With parents,2,Approved,24,2.63,Young
5065673,F,N,N,0,135000.0,Working,Secondary Education,Single,Apartment,1,Approved,31,12.9,Young
5029544,F,Y,Y,1,133650.0,Commercial associate,Secondary Education,Married,Apartment,3,Approved,39,5.38,Young
5111159,F,Y,Y,1,81000.0,Working,Higher education,Married,Apartment,3,Approved,29,3.81,Young
5099957,F,Y,Y,1,225000.0,Commercial associate,Higher education,Married,Apartment,3,Approved,30,1.26,Young
